channel,title,number,date,genre,detail
KBS2,(신사와아가씨),4418,10월2주차,드라마,"가족,로맨스"
SBS,(원더우먼),2728,10월2주차,드라마,로맨틱코미디
KBS2,(빨강구두),2693,10월2주차,드라마,"복수, 멜로"
KBS1,(국가대표와이프),2245,10월2주차,드라마,"가족, 코미디"
SBS,미운우리새끼다시쓰는육아일기,2236,10월2주차,예능,리얼리티
KBS2,1박2일,1966,10월2주차,예능,여행
SBS,(홍천기),1697,10월2주차,드라마,"사극, 로맨스, 판타지"
MBC,놀면뭐하니,1544,10월2주차,예능,리얼 버라이어티 쇼
KBS1,KBS9시뉴스,1526,10월2주차,뉴스,뉴스
KBS1,인간극장,1443,10월2주차,시사/교양,다큐
MBC,(검은태양THEVEIL),1442,10월2주차,드라마,액션
MBC,나혼자산다,1393,10월2주차,예능,리얼리티
SBS,TV동물농장,1358,10월2주차,시사/교양,리얼리티
SBS,궁금한이야기Y,1347,10월2주차,시사/교양,시사교양
SBS,골때리는그녀들,1325,10월2주차,예능,특집
KBS1,아침마당,1191,10월2주차,시사/교양,시사교양
KBS1,6시내고향,1137,10월2주차,시사/교양,시사교양
SBS,순간포착,1122,10월2주차,시사/교양,리얼리티
KBS2,박원숙의같이삽시다,1121,10월2주차,예능,시사교양
MBC,미스터리음악쇼복면가왕,1090,10월2주차,예능,음악
TV CHOSUN,내일은국민가수,3174,10월2주차,예능,오디션
TV CHOSUN,내일은국민가수,2710,10월2주차,예능,오디션
JTBC,어쩌다벤져스뭉쳐야찬다2,1681,10월2주차,예능,스포츠
TV CHOSUN,뽕숭아학당인생학교,1281,10월2주차,예능,예능
TV CHOSUN,뽕숭아학당인생학교,1197,10월2주차,예능,예능
TV CHOSUN,TV조선뉴스9,1088,10월2주차,뉴스,뉴스
TV CHOSUN,강적들,985,10월2주차,시사/교양,시사교양
TV CHOSUN,내일은국민가수,909,10월2주차,예능,오디션
TV CHOSUN,내딸하자,892,10월2주차,예능,예능
TV CHOSUN,TV조선뉴스7,891,10월2주차,뉴스,뉴스
tvN,(갯마을차차차),2736,10월2주차,드라마,로맨틱코미디
tvN,TVNSPORTS2022카타르월드컵최종예선,2133,10월2주차,스포츠,스포츠
tvN,슬기로운산촌생활,1814,10월2주차,예능,예능
tvN,유퀴즈온더블럭,1051,10월2주차,예능,토크쇼
tvN,하이클래스,1017,10월2주차,드라마,미스터리
tvN,리얼리티,808,10월2주차,예능,리얼리티
tvN,놀라운토요일예능신대륙개척,800,10월2주차,예능,리얼 버라이어티 쇼
Mnet,스트릿우먼파이터,797,10월2주차,예능,서바이벌
tvN,유미의세포들,685,10월2주차,드라마,"로맨스, 일상"
tvN,새해전야,577,10월2주차,영화,로맨스
KBS2,(신사와아가씨),4171,10월1주차,드라마,"가족,로맨스"
KBS2,(빨강구두),2698,10월1주차,드라마,"복수, 멜로"
KBS1,(속아도꿈결),2657,10월1주차,드라마,"가족, 로맨스"
SBS,(원더우먼),2491,10월1주차,드라마,로맨틱코미디
SBS,미운우리새끼다시쓰는육아일기,2090,10월1주차,예능,리얼리티
KBS2,1박2일,1943,10월1주차,예능,여행
KBS1,KBS9시뉴스,1722,10월1주차,뉴스,뉴스
MBC,(검은태양),1674,10월1주차,드라마,액션
MBC,나혼자산다,1665,10월1주차,예능,리얼리티
SBS,(홍천기),1632,10월1주차,드라마,"사극, 로맨스, 판타지"
MBC,놀면뭐하니,1582,10월1주차,예능,리얼 버라이어티 쇼
SBS,골때리는그녀들,1476,10월1주차,예능,특집
KBS1,인간극장,1347,10월1주차,시사/교양,다큐
SBS,TV동물농장,1321,10월1주차,시사/교양,리얼리티
KBS2,살림하는남자들,1250,10월1주차,예능,리얼리티
MBC,황금어장라디오스타,1218,10월1주차,예능,토크쇼
KBS1,김영철의동네한바퀴,1198,10월1주차,시사/교양,다큐
KBS1,가요무대,1179,10월1주차,음악,음악
KBS1,아침마당,1135,10월1주차,시사/교양,시사교양
KBS1,6시내고향,1106,10월1주차,시사/교양,시사교양
TV CHOSUN,사랑의 콜센터 - TOP6의선물,2079,10월1주차,예능,리얼리티
TV CHOSUN,사랑의 콜센터 - TOP6의선물,1981,10월1주차,예능,리얼리티
JTBC,어쩌다벤져스뭉쳐야찬다2,1669,10월1주차,예능,스포츠
TV CHOSUN,뽕숭아학당인생학교,1429,10월1주차,예능,예능
TV CHOSUN,뽕숭아학당인생학교,1315,10월1주차,예능,예능
TV CHOSUN,TV조선뉴스9,1156,10월1주차,뉴스,뉴스
TV CHOSUN,와이프 카드 쓰는 남자,1117,10월1주차,예능,리얼리티
TV CHOSUN,강적들,964,10월1주차,시사/교양,시사교양
MBN,나는자연인이다,947,10월1주차,시사/교양,다큐
TV CHOSUN,와이프 카드 쓰는 남자,923,10월1주차,예능,리얼리티
tvN,(갯마을차차차),2608,10월1주차,드라마,로맨틱코미디
tvN,유퀴즈온더블럭,1136,10월1주차,예능,토크쇼
tvN,하이클래스,898,10월1주차,드라마,미스터리
tvN,리얼리티,852,10월1주차,예능,리얼리티
tvN,서복,846,10월1주차,영화,"액션, SF"
tvN,놀라운토요일예능신대륙개척,837,10월1주차,예능,리얼 버라이어티 쇼
tvN,유미의세포들,705,10월1주차,드라마,"로맨스, 일상"
Mnet,스트릿우먼파이터,693,10월1주차,예능,서바이벌
tvN,식스센스2,611,10월1주차,예능,"추리, 예능"
tvN,전무후무한특종랭킹프리한19,509,10월1주차,예능,예능
KBS2,(오케이광자매),5105,9월3주차,드라마,로맨스
KBS2,(빨강구두),2634,9월3주차,드라마,"복수, 멜로"
KBS1,(속아도꿈결),2546,9월3주차,드라마,"가족, 로맨스"
KBS2,2021한가위대기획피어나라대한민국심수봉,2006,9월3주차,특집,특집
SBS,미운우리새끼다시쓰는육아일기,1849,9월3주차,예능,리얼리티
MBC,놀면뭐하니,1830,9월3주차,예능,리얼 버라이어티 쇼
SBS,(홍천기),1826,9월3주차,드라마,"사극, 로맨스, 판타지"
KBS1,KBS9시뉴스,1747,9월3주차,뉴스,뉴스
KBS2,1박2일,1693,9월3주차,예능,여행
