index,cnt,percent
애니메이션,18.28,9.14
범죄,3.16,1.58
드라마,8.4,4.2
스릴러,10.41,5.2
코미디,6.71,3.35
로맨스,13.83,6.91
공포,1.63,0.81
좀비,3.38,1.69
음식,2.63,1.31
로맨틱코미디,8.05,4.02
액션,3.12,1.56
스포츠,6.67,3.33
틴에이저,0.84,0.42
전쟁,3.38,1.69
모험,2.1,1.05
TV드라마,1.92,0.96
판타지,0.99,0.49
가족,0.96,0.48
미스터리,0.78,0.39
SF,0.37,0.18
역사,0.37,0.18
시트콤,0.37,0.18
시대극,0.27,0.13
음악,22.119999999999997,11.06
예능,1.36,0.68
다큐,1.02,0.51
리얼리티,4.95,2.47
막장,1.43,0.71
버라이어티 쇼,1.3,0.65
사극,0.68,0.34
서바이벌,0.28,0.14
시사교양,3.0,1.5
여행,0.8,0.4
추리,0.23,0.11
토크쇼,0.63,0.31
엔터테인먼트,15.15,7.57
기타,13.13,6.56
인물/블로그,7.07,3.53
게임,6.06,3.03
요리,6.06,3.03
먹방,5.05,2.52
키즈,3.03,1.51
뷰티,3.03,1.51
여행/이벤트,2.02,1.01
과학기술,2.02,1.01
아티스트,1.01,0.5
