index,cnt,percent
액션,13.580000000000002,6.79
모혐,0.4,0.2
애니메이션,19.31,9.65
코미디,9.91,4.95
범죄,10.57,5.28
드라마,22.78,11.39
공포,5.63,2.81
스릴러,14.879999999999999,7.44
미스테리,2.4,1.2
퀴즈쇼,0.4,0.2
리얼리티,11.71,5.85
로맨스,21.22,10.61
토크쇼,2.73,1.36
예능,3.3,1.65
모험,3.3600000000000003,1.68
판타지,3.3099999999999996,1.65
틴에이저,1.31,0.65
TV드라마,2.19,1.09
로맨틱코미디,9.66,4.83
미스터리,1.91,0.95
음악,3.44,1.72
스포츠,4.1899999999999995,2.09
시대극,0.47000000000000003,0.23
시트콤,0.5,0.25
시사교양,5.529999999999999,2.76
역사,0.5,0.25
다큐,1.8900000000000001,0.94
전쟁,3.91,1.95
SF,2.44,1.22
에로티시즘,1.0,0.5
가족,1.14,0.57
막장,2.57,1.28
버라이어티 쇼,2.34,1.17
사극,1.2200000000000002,0.61
서바이벌,0.5,0.25
여행,1.44,0.72
추리,0.41000000000000003,0.2
좀비,3.38,1.69
음식,2.63,1.31
