index,cnt,percent
액션,10.46,5.23
모혐,0.4,0.2
애니메이션,19.21,9.61
코미디,9.26,4.63
범죄,7.41,3.71
드라마,14.38,7.19
공포,4.0,2.0
스릴러,4.47,2.24
미스테리,2.4,1.2
퀴즈쇼,0.4,0.2
리얼리티,6.76,3.38
로맨스,7.39,3.7
토크쇼,2.1,1.05
예능,1.94,0.97
모험,1.26,0.63
판타지,2.32,1.16
틴에이저,0.47,0.24
TV드라마,0.27,0.14
로맨틱코미디,1.61,0.81
미스터리,1.13,0.57
음악,21.72,10.86
스포츠,5.6,2.8
시대극,0.2,0.1
시트콤,0.13,0.07
시사교양,2.53,1.27
역사,0.13,0.07
다큐,0.87,0.44
전쟁,0.53,0.27
SF,2.07,1.04
에로티시즘,1.0,0.5
가족,0.18,0.09
막장,1.14,0.57
버라이어티 쇼,1.04,0.52
사극,0.54,0.27
서바이벌,0.22,0.11
여행,0.64,0.32
추리,0.18,0.09
엔터테인먼트,15.15,7.58
기타,13.13,6.57
인물/블로그,7.07,3.54
게임,6.06,3.03
요리,6.06,3.03
먹방,5.05,2.53
키즈,3.03,1.52
뷰티,3.03,1.52
여행/이벤트,2.02,1.01
과학기술,2.02,1.01
아티스트,1.01,0.51
