index,cnt,percent
애니메이션,3675.0,9.19
범죄,1262.0,3.16
드라마,3358.0,8.4
스릴러,4164.0,10.41
코미디,1472.9999999999998,3.68
로맨스,5530.0,13.83
공포,650.0,1.63
좀비,1351.0,3.38
음식,1053.0,2.63
로맨틱코미디,3221.0,8.05
액션,1248.0,3.12
스포츠,1052.0,2.63
틴에이저,336.0,0.84
전쟁,1352.0,3.38
모험,839.0,2.1
TV드라마,766.0,1.92
판타지,395.0,0.99
가족,382.0,0.96
미스터리,312.0,0.78
SF,146.0,0.37
역사,146.0,0.37
시트콤,146.0,0.37
시대극,109.00000000000001,0.27
음악,769.0,1.92
예능,543.0,1.36
다큐,406.00000000000006,1.02
리얼리티,1980.0,4.95
막장,570.0,1.43
버라이어티 쇼,520.0,1.3
사극,270.0,0.68
서바이벌,110.00000000000001,0.28
시사교양,1200.0,3.0
여행,320.0,0.8
추리,90.0,0.23
토크쇼,250.0,0.63
