index,cnt,percent
액션,5230.0,10.46
모혐,200.0,0.4
애니메이션,5061.0,10.12
코미디,3117.0,6.23
범죄,3704.9999999999995,7.41
드라마,7192.0,14.38
공포,2000.0,4.0
스릴러,2233.0,4.47
미스테리,1200.0,2.4
퀴즈쇼,200.0,0.4
리얼리티,3379.9999999999995,6.76
로맨스,3694.0,7.39
토크쇼,1050.0,2.1
예능,968.0,1.94
모험,632.0,1.26
판타지,1162.0,2.32
틴에이저,233.0,0.47
TV드라마,133.0,0.27
로맨틱코미디,803.0000000000001,1.61
미스터리,563.0,1.13
음악,760.0,1.52
스포츠,780.0,1.56
시대극,100.0,0.2
시트콤,66.0,0.13
시사교양,1266.0,2.53
역사,66.0,0.13
다큐,436.00000000000006,0.87
전쟁,266.0,0.53
SF,1033.0,2.07
에로티시즘,500.0,1.0
가족,90.0,0.18
막장,570.0,1.14
버라이어티 쇼,520.0,1.04
사극,270.0,0.54
서바이벌,110.00000000000001,0.22
여행,320.0,0.64
추리,90.0,0.18
